"user_id";"user_regdate";"username"
"40670";"1340449873";"fudge"
"40982";"1342164743";"lucialeblanc"
"28992";"1260910590";"Karunel"
"40580";"1339843778";"whoopwhoop3"
"40581";"1339848076";"superstar12"
"40582";"1339848639";"Fuzatlex"
"40821";"1341332256";"Chase2o11"
"40822";"1341335000";"Babika"
"41461";"1345487557";"Disciplex"
"49386";"1407811860";"Roguetrooper720"
"49667";"1410501804";"yeababy007"
"41462";"1345492454";"Mairsil"
"40579";"1339795643";"boobooboo991"
"40748";"1340828063";"aadri98"
"40574";"1339781205";"Lord_B"
"40813";"1341303011";"took76"
"40814";"1341303892";"Gabba"
"40815";"1341304863";"Bavshvi"
"28906";"1260050953";"capricorn"
"40836";"1341410583";"NATALI"
"40835";"1341400278";"madou"
"40837";"1341413316";"Kircca"
"40569";"1339765717";"BareFinn"
"40570";"1339769977";"twannie1"
"40571";"1339771245";"Dingens"
"28918";"1260204560";"Novaharvest"
"28922";"1260270618";"MightyEddy"
"41303";"1344274650";"leoemgeache"
"41108";"1343063646";"Lunatic20"
"41110";"1343067151";"Myller"
"49665";"1410487562";"LegendaryKlint"
"41111";"1343067155";"Lawliett"
"50098";"1414625458";"italy"
"45026";"1372780761";"Martinakiralylany"
"43696";"1362881409";"Vanja"
"43697";"1362882461";"AngelofDeath"
"44319";"1367429728";"Shadingale"
"44320";"1367430616";"epiccc"
"40611";"1340000140";"Cpt_crunch"
"41286";"1344191170";"dargor"
"40568";"1339748770";"Kittu"
"41306";"1344281845";"Szczak"
"41374";"1344875668";"ParaZuki"
"42394";"1353098949";"Lusus_Isis"
"41307";"1344284637";"joey1989"
"42393";"1353088328";"robertleach105"
"28886";"1259887256";"RULETHEDAYNG2"
"41058";"1342594405";"BoyNgheo"
"41054";"1342542161";"Jodobi"
"41483";"1345607066";"BRshaman"
"42392";"1353078892";"lufa666"
"41055";"1342543880";"lapulga001"
"41056";"1342553792";"KickTakeS"
"41078";"1342765842";"hiiamevil"
"28826";"1259123600";"Belphegor56"
"40567";"1339706319";"cataringso"
"28828";"1259134657";"Belphegore"
"28829";"1259135321";"Keikan"
"40566";"1339706027";"jakey95"
"40866";"1341584211";"ibeir0"
"40565";"1339705652";"Eluryahn"
"40564";"1339703284";"ikagara"
"40563";"1339701025";"keithclicksslow"
"41441";"1345378505";"Liki"
"28838";"1259274333";"blipblipblur"
"41242";"1343938487";"Turnkeysreg"
"40577";"1339793492";"lollerskatur"
"28857";"1259462109";"Shaffer3"
"28860";"1259501412";"kuana"
"41093";"1342890288";"Draivi"
"40558";"1339621119";"jynfe"
"40606";"1339980743";"ex0420"
"41015";"1342323658";"yoonii"
"41063";"1342636439";"Leonrydau"
"41014";"1342312857";"semprea30"
"41017";"1342337805";"cawesome91"
"28794";"1258821279";"modellady"
"40556";"1339603688";"Fromkagul"
"28798";"1258843301";"megamegaman"
"40555";"1339602890";"qeqeqe"
"40554";"1339602317";"PlayGG"
"40553";"1339593959";"Psycho_Child85"
"41019";"1342346619";"Murios"
"40551";"1339583184";"tomppaH"
"28784";"1258759392";"Matias"
"40886";"1341651411";"ruloman100"
"40867";"1341586676";"wurstelwilli"
"40868";"1341586757";"Neme1984"
"40869";"1341586958";"Rangarig"
"40549";"1339568366";"trebillion"
"40550";"1339568605";"maranheap"
"28761";"1258562691";"[SW]Toni"
"45036";"1372877936";"Verone"
"45037";"1372877963";"TheLakainGuy"
"43296";"1359844708";"BloodBanana"
"40849";"1341494028";"solandros"
"40850";"1341494205";"dridiyassine"
"40340";"1338311756";"michales6"
"28754";"1258467749";"Gad"
"45263";"1374326543";"Aksamitejszyn"
"44457";"1368321921";"Biboup"
"43397";"1360510791";"FlGri"
"43398";"1360511096";"speedemon34"
"43399";"1360511568";"swimtwin42"
"40543";"1339529918";"TheSwePro"
"40544";"1339531810";"madrigal987"
"40545";"1339535514";"Grey"
"40546";"1339536310";"FE_Phosphoros"
"40547";"1339536329";"Kaesemuffin"
"40548";"1339536404";"germinou01"
"40578";"1339795312";"SilentS"
"40559";"1339633957";"khodjet91"
"41229";"1343908220";"ant975432"
"40538";"1339517819";"makar"
"40625";"1340133953";"Espore"
"42388";"1353042542";"Armadillus"
"42389";"1353042697";"Matric"
"40539";"1339521894";"Bestplayer86"
"40540";"1339523158";"Senteza"
"40541";"1339523825";"KillCaliber"
"40534";"1339512124";"pontus"
"40537";"1339517143";"SHaKtey"
"41066";"1342642158";"Potatoglitch"
"41466";"1345495548";"Felixx147"
"40529";"1339506529";"winobu"
"40530";"1339507053";"winobu2"
"28697";"1257861261";"Luckydregger"
"41494";"1345726383";"miv01"
"28702";"1257910993";"TomTAnk33"
"40528";"1339505112";"VoDoCrysis"
"40983";"1342171992";"Vizzar00"
"40984";"1342187238";"trelew1"
"28660";"1257366859";"Eshmeren"
"40527";"1339478117";"squall6651"
"40524";"1339469952";"fuunes"
"40525";"1339469953";"pancho66686"
"40526";"1339476252";"edheldur"
"41304";"1344278644";"Daire"
"28643";"1257180140";"drApfel"
"37011";"1315401023";"SexyBoyRus"
"28650";"1257203517";"lil__nicky"
"28652";"1257275940";"Mullbank"
"40519";"1339435718";"carlos92rd"
"40515";"1339421153";"wartrope"
"41106";"1343051793";"BloodforgeHD"
"40514";"1339420433";"lzxcnm"
"40576";"1339791242";"Soundmill"
"52532";"1431948685";"Nooky"
"52430";"1431338595";"lebanaine44"
"52724";"1432869196";"WiseDragoon"
"40512";"1339419368";"pompinho"
"40513";"1339419988";"pompinho1"
"28635";"1257079380";"downshadow"
"28638";"1257093969";"Raziel090"
"40865";"1341573746";"DrAwesome"
"40575";"1339786574";"jonny13"
"40562";"1339694955";"webber1993"
"49656";"1410296176";"Carluw"
"49657";"1410297710";"milosuarezb"
"40509";"1339376708";"Negrath"
"41300";"1344250315";"DeviL_God"
