map,length,fights_won,fights_lost,followers_killed,buildings_destroyed,shamans_killed,followers_lost,buildings_lost,shaman_deaths,value,good
19,844,0,0,0,0,0,0,0,0,0.466666666667,False
17,1260,53,13,92,16,0,51,1,3,0.466666666667,False
17,1244,22,36,42,2,0,105,12,3,0.466666666667,False
19,4455,81,81,225,9,0,233,5,8,0.466666666667,False
19,0,0,0,0,0,0,0,0,0,0.466666666667,False
19,1184,2,2,51,0,0,9,0,2,0.466666666667,False
19,0,0,0,0,0,0,0,0,0,0.466666666667,False
211,2170,3,0,22,1,0,0,0,2,0.6,True
211,0,0,0,0,0,0,0,0,0,0.6,True
17,0,0,0,0,0,0,0,0,0,0.6,True
17,702,21,4,21,6,0,7,1,2,0.6,True
19,0,0,0,0,0,0,0,0,0,0.533333333333,True
19,3384,15,9,93,2,0,62,0,12,0.533333333333,True
16,689,16,0,34,10,0,4,0,1,0.666666666667,True
16,681,0,18,3,0,0,40,8,3,0.666666666667,True
19,0,0,0,0,0,0,0,0,0,0.533333333333,True
19,5443,108,19,176,18,0,47,0,14,0.533333333333,True
29,1926,36,50,86,6,0,161,12,12,0.266666666667,False
29,1910,73,40,156,17,0,94,4,12,0.266666666667,False
16,0,0,0,0,0,0,0,0,0,0.533333333333,True
16,483,0,0,0,0,0,0,0,0,0.533333333333,True
19,3409,62,52,131,15,0,106,1,2,0.533333333333,True
19,3404,193,39,107,1,0,140,14,17,0.533333333333,True
29,1107,101,43,26,1,0,93,4,7,0.333333333333,False
29,1110,41,18,87,10,0,26,0,3,0.333333333333,False
29,1823,31,4,148,9,0,48,2,6,0.466666666667,False
29,1836,18,22,46,2,0,148,4,12,0.466666666667,False
195,1215,29,7,79,11,0,17,0,3,0.533333333333,True
195,1226,30,5,16,2,0,83,5,9,0.533333333333,True
19,6476,271,53,581,16,0,330,10,14,0.533333333333,True
19,6474,73,317,346,13,0,612,15,38,0.533333333333,True
16,930,33,48,106,0,0,79,0,2,0.466666666667,False
16,928,43,40,45,0,0,72,0,5,0.466666666667,False
370,788,0,0,33,0,0,0,0,0,0.533333333333,True
370,801,0,0,0,0,0,77,1,2,0.533333333333,True
658,698,0,0,18,1,0,0,0,1,0.533333333333,True
658,684,1,0,0,0,0,20,1,2,0.533333333333,True
19,0,0,0,0,0,0,0,0,0,0.6,True
19,2016,84,6,46,0,0,40,0,9,0.6,True
19,1915,75,40,82,0,0,78,0,1,0.533333333333,True
19,0,0,0,0,0,0,0,0,0,0.533333333333,True
308,936,19,5,64,3,0,39,0,4,0.466666666667,False
308,938,8,2,31,4,0,83,1,6,0.466666666667,False
352,1605,0,0,60,0,0,6,1,1,0.6,True
352,0,0,0,0,0,0,0,0,0,0.6,True
19,1574,0,0,0,0,0,0,0,0,0.533333333333,True
19,1556,64,96,85,1,0,150,13,6,0.533333333333,True
19,1556,88,28,148,21,0,92,0,5,0.533333333333,True
308,999,82,31,78,4,0,54,0,2,0.666666666667,True
308,1001,28,87,54,0,0,78,4,2,0.666666666667,True
19,1124,35,3,99,1,0,10,1,1,0.466666666667,False
19,1143,16,20,10,1,0,99,1,5,0.466666666667,False
17,1116,49,12,108,23,0,29,0,1,0.466666666667,False
17,1140,27,43,24,0,0,103,18,3,0.466666666667,False
19,653,0,0,0,0,0,0,0,0,0.466666666667,False
19,636,5,0,11,2,0,4,1,3,0.466666666667,False
391,537,6,0,4,0,0,0,0,0,0.533333333333,True
391,0,0,0,0,0,0,0,0,0,0.533333333333,True
210,0,0,0,0,0,0,0,0,0,0.6,True
210,2053,91,21,345,14,0,96,0,5,0.6,True
19,1108,104,10,112,6,0,28,0,0,0.6,True
19,0,0,0,0,0,0,0,0,0,0.6,True
16,840,3,0,0,0,0,6,0,1,0.533333333333,True
16,822,0,0,5,0,0,0,0,0,0.533333333333,True
18,0,0,0,0,0,0,0,0,0,0.533333333333,True
18,2278,0,0,0,0,0,0,0,0,0.533333333333,True
19,0,0,0,0,0,0,0,0,0,0.733333333333,True
19,1148,9,18,28,2,0,38,1,3,0.733333333333,True
16,807,26,16,65,11,0,25,0,4,0.533333333333,True
16,809,25,12,25,2,0,68,8,8,0.533333333333,True
16,1722,201,55,276,38,0,150,2,13,0.533333333333,True
16,1697,123,116,145,10,0,298,29,17,0.533333333333,True
18,0,0,0,0,0,0,0,0,0,0.6,True
18,811,0,0,23,2,0,6,0,0,0.6,True
19,0,0,0,0,0,0,0,0,0,0.666666666667,True
19,1768,48,55,66,6,0,65,3,6,0.666666666667,True
30,1129,34,13,132,37,0,48,0,6,0.533333333333,True
30,1099,64,38,47,1,0,131,29,11,0.533333333333,True
30,1118,0,0,0,0,0,0,0,0,0.533333333333,True
30,1114,0,0,0,0,0,0,0,0,0.533333333333,True
19,0,0,0,0,0,0,0,0,0,0.666666666667,True
19,2125,17,11,56,2,0,17,0,2,0.666666666667,True
20,2708,38,7,202,26,0,61,1,12,0.6,True
20,2717,26,44,59,3,0,212,21,16,0.6,True
30,4384,77,117,87,0,0,125,0,1,0.466666666667,False
30,4397,183,89,125,0,0,87,0,0,0.466666666667,False
16,735,29,8,57,8,0,17,0,2,0.6,True
16,745,23,21,14,1,0,58,5,8,0.6,True
19,0,0,0,0,0,0,0,0,0,0.533333333333,True
19,2510,17,7,109,3,0,70,3,5,0.533333333333,True
29,1070,39,13,128,3,0,45,0,6,0.333333333333,False
29,1064,26,47,40,3,0,129,2,11,0.333333333333,False
17,750,11,4,24,3,0,4,0,0,0.466666666667,False
17,0,0,0,0,0,0,0,0,0,0.466666666667,False
17,930,29,80,27,4,0,117,23,2,0.466666666667,False
17,935,82,11,118,21,0,31,1,4,0.466666666667,False
20,1499,77,32,113,19,0,97,7,3,0.533333333333,True
20,1496,44,44,88,7,0,106,19,9,0.533333333333,True
19,1572,15,4,59,1,0,17,0,3,0.733333333333,True
19,1604,0,0,0,0,0,0,0,0,0.733333333333,True
16,1250,65,34,71,0,0,104,16,11,0.6,True
16,1234,43,46,107,17,0,78,0,5,0.6,True
210,680,9,0,31,2,0,1,0,1,0.533333333333,True
210,674,7,14,1,0,0,32,0,3,0.533333333333,True
16,1025,27,2,140,18,0,8,0,1,0.466666666667,False
16,1032,2,17,3,0,0,141,18,4,0.466666666667,False
16,0,0,0,0,0,0,0,0,0,0.6,True
16,736,5,1,8,2,0,10,0,1,0.6,True
642,3381,163,232,345,26,0,608,75,26,0.4,False
642,3384,196,119,515,91,0,370,16,19,0.4,False
647,520,10,11,11,0,0,10,0,1,0.4,False
647,523,0,0,0,0,0,0,0,0,0.4,False
647,0,0,0,0,0,0,0,0,0,0.4,False
29,2956,73,35,229,18,0,153,2,25,0.466666666667,False
29,2967,56,50,150,5,0,235,13,30,0.466666666667,False
30,1009,2,0,79,8,0,4,0,4,0.333333333333,False
30,0,0,0,0,0,0,0,0,0,0.333333333333,False
30,991,0,0,0,0,0,0,0,4,0.333333333333,False
30,990,0,0,0,0,0,0,0,2,0.333333333333,False
17,955,24,16,119,10,0,26,2,3,0.533333333333,True
17,969,22,87,23,4,0,117,11,4,0.533333333333,True
931,1148,51,11,122,9,0,26,1,3,0.466666666667,False
931,1126,32,70,24,1,0,140,9,6,0.466666666667,False
308,1418,6,13,70,9,0,31,0,6,0.533333333333,True
308,1421,20,2,31,0,0,78,2,10,0.533333333333,True
17,1040,73,84,82,12,0,104,29,6,0.466666666667,False
17,1067,76,75,104,34,0,85,12,0,0.466666666667,False
19,810,15,0,40,3,0,5,0,1,0.333333333333,False
19,815,5,26,5,0,0,40,3,4,0.333333333333,False
19,3428,47,6,144,22,0,176,0,6,0.4,False
19,3405,49,46,11,0,0,143,18,4,0.4,False
30,814,19,3,58,7,0,17,1,2,0.466666666667,False
30,824,5,18,16,2,0,59,6,3,0.466666666667,False
17,853,36,0,59,24,0,6,1,1,0.466666666667,False
17,834,1,43,6,1,0,68,18,1,0.466666666667,False
19,1365,16,8,51,0,0,77,14,9,0.466666666667,False
19,1360,15,7,60,16,0,34,0,7,0.466666666667,False
19,1695,79,33,138,16,0,97,3,8,0.466666666667,False
19,1681,68,76,96,5,0,139,15,9,0.466666666667,False
19,903,28,3,29,2,0,19,0,0,0.533333333333,True
19,0,0,0,0,0,0,0,0,0,0.533333333333,True
19,2027,0,0,0,0,0,0,0,0,0.6,True
19,2008,65,14,114,2,0,52,0,2,0.6,True
902,0,0,0,0,0,0,0,0,0,0.6,True
902,642,6,0,26,2,0,13,0,1,0.6,True
17,988,69,17,95,4,0,69,1,4,0.533333333333,True
17,0,0,0,0,0,0,0,0,0,0.533333333333,True
200,1406,84,37,130,16,0,92,1,3,0.533333333333,True
200,1392,55,52,90,5,0,128,16,8,0.533333333333,True
29,563,6,0,49,1,0,1,0,1,0.6,True
29,569,3,8,1,0,0,49,1,2,0.6,True
19,1886,5,0,111,17,0,18,0,6,0.4,False
19,1908,14,1,20,0,0,113,7,9,0.4,False
19,620,10,5,30,1,0,10,0,2,0.466666666667,False
19,634,15,6,8,0,0,28,1,2,0.466666666667,False
308,1128,11,4,50,6,0,31,0,4,0.533333333333,True
308,1132,13,4,31,0,0,52,5,5,0.533333333333,True
19,2448,40,37,87,3,0,226,4,5,0.6,True
19,2447,0,0,0,0,0,0,0,0,0.6,True
311,802,6,0,42,2,0,2,0,3,0.466666666667,False
311,791,13,1,2,2,0,42,1,7,0.466666666667,False
17,1048,108,9,123,34,0,37,3,2,0.466666666667,False
17,1057,18,93,37,4,0,123,28,3,0.466666666667,False
17,1141,136,16,160,31,0,58,3,4,0.533333333333,True
17,1130,22,140,58,6,0,161,31,4,0.533333333333,True
19,2461,180,29,164,19,0,84,0,0,0.666666666667,True
19,2484,50,120,78,0,0,163,15,11,0.666666666667,True
30,2471,217,53,397,71,0,238,12,17,0.6,True
30,2473,123,177,232,22,0,410,45,19,0.6,True
19,0,0,0,0,0,0,0,0,0,0.466666666667,False
19,1746,100,39,131,0,0,80,0,1,0.466666666667,False
18,1929,0,0,0,0,0,0,0,0,0.533333333333,True
18,1913,0,3,75,8,0,46,2,2,0.533333333333,True
20,2528,51,82,89,1,0,197,13,9,0.4,False
20,0,0,0,0,0,0,0,0,0,0.4,False
27,1995,106,81,267,51,0,189,4,8,0.6,True
27,1992,95,119,183,4,0,285,36,15,0.6,True
18,5002,70,20,312,49,0,389,14,12,0.533333333333,True
18,5000,50,17,313,19,0,345,41,8,0.533333333333,True
30,2814,309,146,391,76,0,352,13,21,0.6,True
30,2823,205,194,352,22,0,409,64,22,0.6,True
29,1588,86,86,112,10,0,205,23,11,0.466666666667,False
29,1608,78,30,193,25,0,108,4,9,0.466666666667,False
17,1507,34,50,31,1,0,110,30,6,0.533333333333,True
17,1500,54,1,108,31,0,35,0,2,0.533333333333,True
